Species,Plot,Elevation,sex,bodysize,headlenth,headwidth,thoraxlenth,thoraxwidth,elytralenth,bodywidth,femur,tibia,antenna,hindwing,leglenth
Nicrophorus quadripunctatus ,5,950,0,15.73424,3.69434,3.23186,3.95878,4.60281,8.08112,6.41721,3.88925,3.96745,3.60528,17.2,7.8567
Nicrophorus quadripunctatus ,5,950,0,14.61898,3.51898,3.00254,3.61259,4.41838,7.48741,6.43861,3.67347,3.76156,3.53311,16,7.43503
Nicrophorus quadripunctatus ,5,950,0,18.79078,4.39379,3.99672,4.85496,5.61872,9.54203,6.82014,4.66678,4.86712,4.26636,19,9.5339
Nicrophorus tenuipes,5,950,0,19.91708,4.80576,4.19769,4.82066,5.82526,10.29066,7.51181,5.05496,4.96373,4.61407,23,10.01869
Nicrophorus maculifrons,5,950,1,21.14233,5.91477,4.86756,5.02778,6.5045,10.19978,7.69828,4.82485,4.4045,5.3513,24,9.22935
Nicrophorus maculifrons,5,950,0,17.56285,4.04929,3.58023,4.26292,5.2751,9.25064,7.07151,4.17472,4.03642,4.20134,20,8.21114
Nicrophorus maculifrons,5,950,0,20.35822,4.42343,4.00784,4.9257,6.01253,11.00909,7.81408,4.76592,4.46454,4.60843,24,9.23046
Nicrophorus quadripunctatus ,6,950,1,14.80613,3.86221,3.21871,3.53597,4.37709,7.40795,5.48059,3.50191,3.56134,3.45092,15.9,7.06325
Nicrophorus quadripunctatus ,6,950,0,16.09617,3.99171,3.27956,3.9961,4.76809,8.10836,6.37562,3.83232,3.68774,3.95704,17.2,7.52006
Nicrophorus quadripunctatus ,6,950,0,16.79922,4.00544,3.41331,4.23365,4.84894,8.56013,6.3705,3.96393,4.19246,3.74524,18,8.15639
Nicrophorus quadripunctatus ,6,950,0,14.20467,3.48624,3.00256,3.5675,4.32123,7.15093,5.68913,3.64624,3.62363,3.35232,15,7.26987
Nicrophorus quadripunctatus ,6,950,0,15.82254,3.72695,3.16706,3.95759,4.73306,8.138,6.08075,3.88794,3.53597,4.03265,18,7.42391
Nicrophorus quadripunctatus ,6,950,0,16.37824,3.4246,3.49472,4.08152,5.04294,8.87212,6.93601,4.22809,4.5176,4.16306,18.5,8.74569
Nicrophorus tenuipes,6,950,0,20.52221,5.1943,4.26047,4.85089,6.1276,10.47702,7.70554,5.48259,5.29893,5.06595,24,10.78152
Nicrophorus tenuipes,6,950,0,21.49756,5.48113,4.46999,5.20244,6.36405,10.81399,8.06458,5.61815,5.51501,4.67335,24,11.13316
Nicrophorus tenuipes,6,950,0,20.6027,4.99191,4.5051,4.97636,6.40615,10.63443,8.14136,5.65011,5.42049,5.08018,24,11.0706
Nicrophorus maculifrons,6,950,0,16.38775,3.70225,3.39651,4.09866,4.98651,8.58684,6.45446,3.78824,3.72148,3.85666,19,7.50972
Nicrophorus maculifrons,6,950,0,17.60136,3.96209,3.55073,4.32663,5.43205,9.31264,6.92374,4.1675,3.73132,4.08163,21,7.89882
Nicrophorus maculifrons,6,950,0,16.8935,3.66071,3.58889,4.27982,5.10988,8.95297,6.78882,4.27092,3.87698,3.83905,21,8.1479
Nicrophorus maculifrons,6,950,0,20.33537,4.55446,4.02625,5.00549,5.8261,10.77542,7.61691,4.83531,4.79726,4.01453,25,9.63257
Nicrophorus vespilloides,6,950,1,15.80813,4.21413,3.42168,3.87775,5.1458,7.71625,6.58317,3.991,3.87388,3.56257,16,7.86488
Nicrophorus concolor,6,950,1,32.43241,8.03929,6.69474,8.73343,10.46559,15.65969,12.91767,7.36564,7.01482,7.39306,36,14.38046
Nicrophorus quadripunctatus ,7,950,0,18.31096,4.06706,3.63811,4.63583,5.42348,9.60807,7.06967,4.67693,4.26108,4.27316,20,8.93801
Silpha perforata,7,950,0,18.50882,2.78982,2.70586,4.84742,8.02865,10.87158,8.43495,4.99742,4.97343,6.06141,1.30262,9.97085
Oiceoptoma thoracicum,7,950,0,15.32244,2.13146,2.03914,3.5778,6.0601,9.61318,7.34476,3.46323,3.23101,3.44848,13,6.69424
Nicrophorus quadripunctatus ,1,1100,0,15.90502,4.09654,3.34084,3.77545,4.85099,8.03303,6.52017,3.97146,3.73565,3.72503,19,7.70711
Nicrophorus quadripunctatus ,1,1100,0,15.4819,3.67066,3.11828,3.77359,4.58815,8.03765,5.84487,3.81794,3.81291,3.52643,18,7.63085
Nicrophorus quadripunctatus ,1,1100,0,16.04394,3.84628,3.27171,3.99522,4.79548,8.20244,6.36337,3.92319,4.01366,4.12163,19,7.93685
